No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
1,Minimalism & Swiss Style,General,"Clean, simple, spacious, functional, white space, high contrast, geometric, sans-serif, grid-based, essential","Monochromatic, Black #000000, White #FFFFFF","Neutral (Beige #F5F1E8, Grey #808080, Taupe #B38B6D), Primary accent","Subtle hover (200-250ms), smooth transitions, sharp shadows if any, clear type hierarchy, fast loading","Enterprise apps, dashboards, documentation sites, SaaS platforms, professional tools","Creative portfolios, entertainment, playful brands, artistic experiments",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AAA,✓ High,◐ Medium,"Tailwind 10/10, Bootstrap 9/10, MUI 9/10",1950s Swiss,Low,"Design a minimalist landing page. Use: white space, geometric layouts, sans-serif fonts, high contrast, grid-based structure, essential elements only. Avoid shadows and gradients. Focus on clarity and functionality.","display: grid, gap: 2rem, font-family: sans-serif, color: #000 or #FFF, max-width: 1200px, clean borders, no box-shadow unless necessary","☐ Grid-based layout 12-16 columns, ☐ Typography hierarchy clear, ☐ No unnecessary decorations, ☐ WCAG AAA contrast verified, ☐ Mobile responsive grid","--spacing: 2rem, --border-radius: 0px, --font-weight: 400-700, --shadow: none, --accent-color: single primary only"
2,Neumorphism,General,"Soft UI, embossed, debossed, convex, concave, light source, subtle depth, rounded (12-16px), monochromatic, tactile","Soft White #E0E5EC, Light Grey #D1D9E6","Pale Blue #A3B1C6, Muted Tones, No pure black","Dual shadow (light + dark), subtle depth, convex/concave effects, slow transitions (300ms), no flat elements","Smart home apps, calculators, music players, concept UIs","Data-heavy dashboards, accessibility-critical apps, dark-only brands",✓ Full,⚠ Challenging,⚡ Excellent,⚠ WCAG AA Only,◐ Medium,◐ Medium,"Tailwind 7/10, Bootstrap 5/10, MUI 5/10",2019,Medium,"Design a neumorphic UI component. Use: soft grey background, dual box-shadows (light top-left, dark bottom-right), rounded corners 12-16px, subtle depth, convex/concave effects. No flat or material-style elements.","box-shadow: 8px 8px 16px #b8bec7, -8px -8px 16px #fff; border-radius: 12px; background: #e0e5ec","☐ Dual shadow applied correctly, ☐ Background matches shadow base, ☐ No harsh edges, ☐ Convex/concave states defined, ☐ AA contrast checked","--bg: #e0e5ec, --shadow-dark: #b8bec7, --shadow-light: #ffffff, --radius: 16px, --depth: 8px"
3,Glassmorphism,General,"Frosted glass, transparent, blurred background, layered, vibrant background, light source, depth, rgba, backdrop-filter","Vibrant backgrounds (#FF6B6B, #4ECDC4, Purple, Blue)","White rgba(255,255,255,0.2), Transparent overlays","Backdrop blur (10-30px), frosted glass, layered cards, vibrant background required, semi-transparent borders","Landing pages, hero sections, SaaS dashboards, modern portfolios, cards","Accessibility-critical apps, performance-sensitive mobile, enterprise tools",✓ Full,✓ Full,⚠ Good,⚠ WCAG AA Only,⚠ Medium,✓ High,"Tailwind 8/10, Bootstrap 6/10, MUI 7/10",2020-2021,Medium,"Design a glassmorphic card component. Use: backdrop-filter blur 10-30px, semi-transparent background rgba, frosted glass effect, subtle border 1px rgba white, vibrant colorful background behind glass. Layered depth.","backdrop-filter: blur(20px); background: rgba(255,255,255,0.15); border: 1px solid rgba(255,255,255,0.3); border-radius: 16px","☐ Vibrant background behind glass, ☐ Backdrop blur applied, ☐ Semi-transparent borders, ☐ Text contrast checked, ☐ Fallback for unsupported browsers","--glass-bg: rgba(255,255,255,0.15), --blur: 20px, --border: rgba(255,255,255,0.3), --radius: 16px"
4,Brutalism,General,"Raw, unpolished, stark, high contrast, plain text, default fonts, visible borders, asymmetric, anti-design, bold","Black #000000, White #FFFFFF, Yellow #FFFF00","Red #FF0000, Pure primaries, No pastels","No transitions, hard shadows, visible grids, raw HTML feel, bold typography, broken grid intentionally","Creative portfolios, art projects, experimental brands, anti-establishment sites","Corporate apps, healthcare, finance, accessibility-critical systems",✓ Full,✓ Full,⚡ Excellent,⚠ WCAG AA,✓ High,◐ Medium,"Tailwind 6/10, Bootstrap 4/10, Custom CSS 10/10",1990s Web,Low,"Design a brutalist website. Use: raw unpolished aesthetic, stark black/white/yellow palette, visible borders, default or bold fonts, asymmetric layouts, hard box shadows, no transitions, grid lines visible. Anti-design intentional.","border: 2px solid #000; box-shadow: 4px 4px 0 #000; font-family: monospace or Arial; no border-radius; raw layout","☐ Hard box shadows, ☐ No rounded corners, ☐ Raw/default fonts, ☐ Visible borders, ☐ High contrast palette, ☐ Asymmetric layout","--border: 2px solid black, --shadow: 4px 4px 0 black, --radius: 0, --font: monospace"
5,Skeuomorphism,General,"Realistic textures, 3D illusion, physical objects, leather, wood, metal, gradients, shadows, reflections, depth","Rich Browns #8B4513, Deep Greens #228B22, Leather, Metal","Gold, Silver, Patina, Natural material colors","Complex gradients, realistic shadows, texture overlays, depth layers, 3D transforms, material textures","Nostalgia apps, music instruments, retro games, calculator apps","Modern clean brands, flat design systems, fast-loading priorities",✓ Full,⚠ Challenging,⚠ Good,◐ Depends,⚠ Medium,◐ Medium,"Custom CSS 10/10, Tailwind 4/10",Pre-2013,High,"Design a skeuomorphic interface. Use: realistic textures (leather, wood, metal), 3D depth illusion, complex gradients, material shadows, physical object references. Look like a real-world object.","background: linear-gradient(multiple stops); box-shadow: inset + outset multiple; texture via background-image","☐ Textures applied, ☐ Realistic shadows and highlights, ☐ Material depth illusion, ☐ Gradients match material, ☐ Accessibility still checked","--texture: url(), --gradient: complex multi-stop, --depth: multiple shadows, --highlight: rgba white overlay"
6,Material Design,General,"Cards, elevation, ripple, bold colors, grid, depth, paper metaphor, responsive, FAB, snackbar","Blue #2196F3, Pink #E91E63, Primary + Accent","Surface #FFFFFF, Background #FAFAFA, Error #B00020","Ripple effect, elevation shadows, material motion (enter/exit transitions), responsive breakpoints","Android apps, Google products, web apps, cross-platform systems","Apple ecosystem, luxury brands, artistic unique designs",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"MUI 10/10, Tailwind 8/10, Bootstrap 7/10",2014,Low,"Design using Material Design 3. Use: card-based layout with elevation, ripple interactions, bold accent colors, FAB for primary action, grid system, typographic hierarchy (Roboto), depth via shadows.","box-shadow: 0 2px 4px rgba(0,0,0,0.12); border-radius: 4px; transition: box-shadow 0.2s; overflow: hidden (ripple)","☐ Elevation levels defined, ☐ Ripple on interactive elements, ☐ Color system (primary/secondary/surface), ☐ Typography scale set, ☐ FAB present","--elevation-1: 0 1px 3px rgba(0,0,0,0.12), --primary: #6200EE, --secondary: #03DAC6, --surface: #fff"
7,Flat Design 2.0,General,"Flat, minimal shadows, simple icons, bold colors, clean typography, UI-forward, Microsoft Fluent, ghost buttons","Bold primary colors, Bright accents","White, Light greys, Pastel supports","Subtle depth (not flat-flat), minimal shadows, clean hover states, smooth transitions, icon-forward","Microsoft products, productivity apps, modern web, mobile apps","Highly decorative brands, luxury, nostalgia",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 9/10, Bootstrap 9/10, Fluent UI 10/10",2013-Present,Low,"Design a flat UI with depth. Use: bold flat colors, simple iconography, clean sans-serif typography, minimal shadows, ghost buttons, crisp grid. Avoid gradients and heavy decoration. Modern, functional, Microsoft-style.","border-radius: 4px; box-shadow: 0 1px 3px rgba(0,0,0,0.08); icon-size: 24px; font-family: Inter/Segoe UI","☐ Icon system consistent, ☐ Color palette defined, ☐ Ghost + filled button variants, ☐ Hover states minimal, ☐ No gradients","--flat-primary: bold color, --shadow: minimal, --icon-size: 24px, --radius: 4px"
8,Cyberpunk / Neon Noir,General,"Neon glow, dark, futuristic, synthwave, grid, holographic, glitch, electric colors, dystopian, sci-fi","Electric Blue #00FFFF, Hot Pink #FF00FF, Neon Green #00FF00","Black #000000, Dark Navy, Deep Purple #1A001A","Neon glow effects, glitch animation, scanlines, neon text-shadow, pulsing animations, grid overlays","Gaming, entertainment, crypto, NFT, tech brand, sci-fi concepts","Healthcare, finance, accessibility-critical, enterprise, children apps",⚠ Limited,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,◐ Medium,"Tailwind 7/10, Custom CSS 9/10",1980s Future / 2020s,Medium,"Design a cyberpunk UI. Use: neon glow effects (cyan, magenta, green), dark black/purple background, glitch text animation, scanlines, electric color palette, futuristic sans-serif fonts, holographic cards.","text-shadow: 0 0 10px #00FFFF; box-shadow: 0 0 20px #FF00FF; background: #000; color: #00FFFF; animation: glitch","☐ Dark background base, ☐ Neon glow applied, ☐ Glitch effect on key elements, ☐ Scanlines optional, ☐ Color contrast still checked","--neon-blue: #00FFFF, --neon-pink: #FF00FF, --bg: #000011, --glow: 0 0 15px currentColor"
9,Vaporwave / Retrowave,General,"Retro, 80s, synthwave, pink, purple, grid, chrome, retro-futuristic, nostalgia, sunset","Hot Pink #FF6EB4, Purple #8A2BE2, Teal #00CED1","Coral, Lavender, Sunset gradients, Chrome silver","Gradient backgrounds, retro grid, chrome text, VHS effects, star fields, sun graphics, neon borders","Creative portfolios, music, entertainment, retro brands, art projects","Professional services, enterprise, B2B, healthcare",⚠ Limited,✓ Full,⚠ Good,⚠ WCAG AA,⚠ Medium,◐ Medium,"Custom CSS 9/10, Tailwind 6/10",1980s Aesthetic,Medium,"Design a vaporwave aesthetic UI. Use: pink/purple/teal palette, retro 80s grid, sunset gradient backgrounds, chrome metallic text, VHS distortion effects, retro-futuristic fonts, nostalgic visual language.","background: linear-gradient(#FF6EB4, #8A2BE2); font-family: retro; text-shadow: chrome effect; grid overlay","☐ Gradient palette defined, ☐ Retro grid overlay, ☐ Chrome/metallic text, ☐ VHS effects optional, ☐ Nostalgia maintained","--pink: #FF6EB4, --purple: #8A2BE2, --teal: #00CED1, --gradient: sunset"
10,Claymorphism,General,"3D clay, soft inflated, pastel, puffy, rounded extreme, cartoon-like, playful, depth, exaggerated shadows","Pastel Blue #A8D8EA, Pastel Pink #FFB6C1, Pastel Green #B5EAD7","Warm White, Lavender, Mint, Light Yellow","3D clay inflation effect, multiple layered shadows, bright inner glow, extreme border-radius (50px+), playful bouncy animations","Children apps, edtech, playful brands, gaming, food apps, consumer apps","Enterprise, finance, medical, professional tools",✓ Full,✓ Full,⚡ Excellent,✓ WCAG AA,✓ High,✓ High,"Tailwind 8/10, Custom CSS 9/10",2021-2022,Medium,"Design a claymorphic UI component. Use: 3D inflated clay effect, pastel colors, extreme rounded corners 24-50px, multiple layered box-shadows for depth, bright inner glow, playful bouncy animations. Look like clay toys.","border-radius: 32px; box-shadow: 0 8px 0 rgba(0,0,0,0.15), inset 0 -4px 0 rgba(0,0,0,0.1), 0 0 20px rgba(168,216,234,0.5)","☐ 3D inflation effect, ☐ Pastel palette, ☐ Extreme border radius, ☐ Multiple shadow layers, ☐ Bouncy animations, ☐ Inner glow","--clay-radius: 32px, --clay-shadow: layered, --pastels: defined palette, --glow: inner"
